,id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
5525,5526,1,0,7,109,11,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,13,89,0,0,0,0,0.0325203252,0.2641509434,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1,0
771,772,2,0,2,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,21,5,0,0,0,0,0.0,0.0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,1
7839,7840,2,1,2,74,0,0,0,0,1,0,2,1,0,9,1,0,0,0,1,0,22,19,25,0,0,0,0.0505050505,0.1960784314,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
2395,2396,2,0,7,103,1,1,0,0,1,0,1,0,0,13,1,1,0,0,1,0,26,60,9,0,2,0,0.0,0.3333333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,1
1478,1479,2,0,4,61,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,16,38,0,0,0,0,0.0,0.1666666667,1,1,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
1846,1847,3,1,3,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,23,0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
9108,9109,1,0,5,48,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,15,26,0,0,0,0,0.0676923077,0.3846153846,0,1,0,0,0,0.0030769231,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
4274,4275,2,0,1,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,25,0,0,0,0,0.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0,-1,1,1,1,1
3740,3741,3,1,2,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,14,0,0,0,0,0.8739837398,0.08,0,1,0,1,0,0.0081300813,1,0,0,0,0,1,0,0,1,1,1,0,0,-1,1
4600,4601,2,0,1,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,14,13,0,0,0,0,1.0,1.0,0,1,0,0,0,0.0,1,0,0,0,0,1,1,0,1,1,-1,1,1,-1,1
8087,8088,1,0,2,61,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,35,0,0,0,0,0.0255813953,0.7341269841,0,1,1,0,0,0.0046511628,0,0,0,0,0,0,0,0,1,0,-1,1,0,1,0
8710,8711,1,0,0,36,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,1,16,0,0,0,0.8,0.5294117647,0,1,1,0,1,0.0,0,0,0,0,0,0,0,0,1,1,0,-1,0,-1,0
6676,6677,1,0,3,60,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,13,40,0,0,0,0,0.085106383,0.1538461538,0,1,0,0,0,0.0212765957,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
6375,6376,1,0,6,72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,47,0,0,0,0,0.1935483871,0.1568627451,0,0,0,0,0,0.0806451613,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
8124,8125,3,1,2,100,6,0,0,0,0,0,0,0,0,7,1,1,0,0,1,0,20,73,0,0,0,0,0.0666666667,0.0714285714,0,0,0,0,0,0.0095238095,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0
9538,9539,3,1,3,58,0,0,0,0,0,0,1,0,0,4,1,1,0,0,0,0,12,25,13,0,0,0,0.0543478261,0.2,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
4915,4916,2,1,2,47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,15,0,0,0,0,0.0,0.0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
2073,2074,3,1,4,60,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,32,0,0,0,0,0.0,0.0,0,1,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,1,1,1,-1,1
4754,4755,3,1,3,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,29,0,0,1,1,1.0,0.0666666667,0,1,0,0,0,0.0,1,0,0,0,0,1,0,0,1,0,1,1,1,-1,1
1896,1897,3,1,4,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,32,0,0,0,0,0.0,0.0,0,1,1,0,0,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
8552,8553,3,1,1,46,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,17,14,7,0,0,0,0.0288461538,0.0224719101,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
6702,6703,2,1,7,90,2,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,30,53,0,0,0,0,0.1733333333,0.4444444444,0,0,0,0,0,0.0666666667,0,0,0,0,0,1,0,0,1,-1,0,1,0,1,0
6317,6318,2,1,3,70,3,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,16,47,0,0,0,0,0.1515151515,0.0769230769,0,1,0,0,0,0.1212121212,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
3659,3660,3,2,4,109,5,4,0,0,0,0,0,0,0,13,1,1,0,1,1,0,57,45,0,0,0,0,0.0555555556,0.0909090909,0,1,1,0,0,0.9444444444,0,0,1,0,0,1,0,0,0,-1,1,1,1,-1,1
6581,6582,1,0,5,87,0,0,0,1,2,0,0,0,0,22,1,1,0,0,1,0,12,68,0,0,0,0,0.0118343195,0.0789473684,0,1,0,0,0,0.0295857988,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0
2379,2380,2,0,7,147,1,1,0,0,0,0,1,0,0,23,1,1,0,0,1,0,26,55,58,0,2,0,0.0,0.3333333333,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1,1
1447,1448,1,0,2,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,16,9,0,0,0,0,0.0,0.7857142857,0,1,0,0,0,1.0,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
